COMMITTER,AVG_DURATION,AVG_LINES_ADDED,AVG_LINES_REMOVED,COUNT_REFACTS,COUNT_SOLVED,FILES_CHANGED,FIXED_ISSUES,INDUCED_ISSUES,COMMIT_HASH,PROJECT_ID
Béla Schaum,0.0,8.75,3.75,0.0,0.0,1.5,0.0,0.0,2,1
Cameron McCormack,0.0,10.347177259498684,3.954936684656034,0.5895522388059702,0.0,17.18407960199005,0.0,0.0,402,1
Camille Fournier,0.0,10.120518207282915,3.3147934173669467,0.6617647058823529,0.0,3.911764705882353,0.0,0.0,68,1
Carl Franklin Hall,0.0,25.66850649350649,1.379761904761905,0.5,0.0,6.0,0.0,0.0,10,1
Carl Hall,0.0,10.777777777777779,5.329861111111111,0.0625,0.0,2.1875,0.0,0.0,16,1
Carl Steinbach,0.0,14.00780956986558,3.424218521673686,0.0,0.0,8.108433734939759,0.0,0.0,166,1
Carlos Sanchez Gonzalez,0.0,5.365868896578238,2.010476739715494,0.0,0.0,2.019607843137255,0.0,0.0,51,1
Carsten Ziegeler,0.0,9.52331120594385,4.673042123527875,0.44346323670570165,0.0,6.286427337300825,0.0,0.0,5209,2
Chad La Joie,0.0,3.0,2.05,0.0,0.0,5.5,0.0,0.0,2,1
Chas Honton,0.0,10.210917625681404,4.7082279360672254,0.2727272727272727,0.0,38.09090909090909,0.0,0.0,22,1
Chetan Mehrotra,0.0,14.426422558922559,3.7392676767676765,0.05,0.0,2.1666666666666665,0.0,0.0,60,1
Chris Custine,0.0,4.563647236748502,2.438823045468615,0.05063291139240506,0.0,3.6962025316455698,0.0,0.0,79,1
Chris Nauroth,0.0,11.178464052287582,2.9716666666666662,0.26666666666666666,0.0,5.466666666666667,0.0,0.0,15,1
Christian Geuer-Pollmann,0.0,15.148637816140083,5.652555198641116,0.5903614457831325,0.0,6.269076305220883,0.0,0.0,249,1
Christian Grobmeier,0.0,7.83604621811619,5.467603883617158,0.8163265306122449,0.0,6.163265306122449,0.0,0.0,49,3
Christian Haul,0.0,16.56568109867971,4.950005696058327,0.5657894736842105,0.0,2.8157894736842106,0.0,0.0,76,1
Christian Schneider,0.0,10.275210084033615,3.3319327731092434,0.0,0.0,1.7058823529411764,0.0,0.0,17,1
