squad,senior,experienced,newbie
52,['Mladen Turk'],['Ortwin Glueck' 'Outerthought - Steven Noels' 'Owolabi Legunsen'],['Ken Gilmer']
53,['Morgan James Delagrange'],['Par Niclas Hedhman' 'Patrick H. Luby' 'Paul Yang'],['Kevin Wilfong']
54,['Namit Jain'],['Peter Donald' 'Peter Kriens' 'Peter Lynch'],['Kristian Rosenvold']
55,['Niall Kegan Pemberton'],['Pier Fumagalli' 'Prasad Chakka' 'Prasad Suresh Mujumdar'],['Marc Giger']
56,['Niall Pemberton'],['Prasanth J' 'Raghotham Murthy' 'Raul Gutierrez S'],['Marc Slemko']
57,['Oleg Kalnichevski'],['Raul Gutierrez Segales' 'Raymond Augé' 'Reinhard Poetz'],['Mark R. Diggory']
58,['Oliver Heger'],['Remus Rusanu' 'Remy Maucherat' 'Ricardo Rocha'],['Markus Dahm']
59,['Outerthought - Bruno Dumon'],['Rob Walker' 'Robert Scholte' 'Roger Lee Whitcomb'],['Michael E. Rodriguez']
60,['Par Daniel Fagerstrohm'],['Rolf Kulemann' 'Rubin Simons' 'Sam Berlin'],['Michael Han']
61,['Patrick D. Hunt'],['Sam Ruby' 'Sandy McArthur Jr' 'Sanjeeb Kumar Sahoo'],['Michael Smith']
62,['Phil Steitz'],['Sean Mullan' 'Sean Sullivan' 'Sebb'],['Michi Mutsuzaki']
63,['Pierre De Rop'],['Sergey Shelukhin' 'Simone Gianni' 'Siying Dong'],['Milan Tomic']
64,['Poetz Reinhard'],['Stefan Bodewig' 'Stefan Seifert' 'Stephane Mor'],['Navis Ryu']
65,['Rahul Akolkar'],['Sung-Gu Park' 'Szehon Ho' 'Ted Leung'],['Ning Zhang']
66,['Ralph Goers'],['Ted Nathan Husted' 'Thawan Kooburat' 'Thomas White'],['Olivier Lamy']
67,['Raul Benito Garcia'],['Thorsten Scherler' 'Timothy Bennett' 'Timothy Michael Moloney'],['Outerthought - Marc Portier']
68,['Richard S. Hall'],['Tom Watson' 'Trustin Lee' 'Trygve Laugstol'],"[""Owen O'Malley""]"
69,['Robert Burrell Donkin'],['Vaibhav Gumashta' 'Vikram Dixit K' 'Vincent Hennebert'],['Pascal Schumacher']
70,['Rodney Waldhoff'],['Vincent Massol' 'Vishal Mahajan' 'Wendy Smoak'],['Patrick Hunt']
71,['Roland Weber'],['William Barker' 'Woonsan Ko' 'Xander Uiterlinden'],['Paul Libbrecht']
72,['Rory Winston'],['Yin Huai' 'Yoav Shapira' 'arshad'],['Peter A Royal Jr']
73,['Sean Joseph Mullan'],['asf-sync-process' 'benjamin reed' 'boz'],['Rakesh Radhakrishnan']
74,['Sebastian Bazley'],['ccheever' 'coheigea' 'cschneider'],['Raúl Gutiérrez Segalés']
75,['Siegfried Goeschl'],['cziegeler' 'dave' 'dlaha'],['Rob Tompkins']
76,['Simon Kitching'],['dweatherford' 'ecki' 'eletuchy'],['Robert James Oxspring']
77,['Simone Tripodi'],['fpj' 'ggregory' 'henrib'],['Robert Leland']
78,['Stefeno Mazzocchi'],['henrib <>' 'hzhao' 'iproctor'],['Scott Cantor']
79,['Stephan Michels'],['jsobel' 'lklots' 'markt'],['Scott Sanders']
80,['Stephane Hillion'],['mvaradachari' 'onders86' 'peter'],['Simon Steiner']
81,['Stephen Colebourne'],['peterm' 'pfung' 'pjack'],['Stefano Lenzi']
82,['Stuart McCulloch'],['pkeyani' 'putnam' 'robert'],['Sten Roger Sandvik']
